teryt;wteryt;nazwa;firmyRz;przychodRz;wynikNettoRz;hotele2012;hotele2017;wSzkoly;absolwenci;przychodMF;nuts1;status;areaH;areakm;pop;popkm;rankA;rankP
1420;14;płoński;4;3933708;333054;4;8;0;57;164.76;m;;137979;1380;87662;64;55;106
1421;14;pruszkowski;12;9652310;310069;11;15;1;111;472.89;m;;24630;246;162922;661;310;14
1422;14;przasnyski;1;238163;4421;2;2;0;0;141.69;m;;121862;1219;52884;43;81;234
1423;14;przysuski;0;0;0;1;2;0;0;115.8;m;;80119;801;42116;53;181;276
1424;14;pułtuski;0;0;0;3;2;1;432;172.94;m;;82742;827;51834;63;173;238
1425;14;radomski;0;0;0;4;7;0;0;144.1;m;;152978;1530;151955;99;33;25
1426;14;siedlecki;0;0;0;4;4;0;0;147.92;m;;160348;1603;81402;51;28;123
1427;14;sierpecki;3;2224711;103096;5;4;0;0;143.08;m;;85204;852;52559;62;164;235
1428;14;sochaczewski;3;6848983;226879;3;3;1;55;233.15;m;;73480;735;85175;116;201;112
1429;14;sokołowski;3;4597838;20272;3;1;0;0;183.42;m;;113117;1131;54604;48;99;229
1430;14;szydłowiecki;0;0;0;2;4;0;0;121.42;m;;45181;452;39938;88;292;285
1432;14;warszawskizachodni;4;1773998;71886;10;11;0;0;511.89;m;;53379;534;115466;216;272;55
1433;14;węgrowski;1;157793;21156;2;3;0;0;178.93;m;;122076;1221;66508;54;80;175
1434;14;wołomiński;1;229137;890;12;15;2;4;303.97;m;;95356;954;241890;254;141;3
1435;14;wyszkowski;1;207157;3015;3;4;0;72;187.84;m;;87643;876;74020;84;158;153
1436;14;zwoleński;1;279203;-4788;0;1;0;0;126.35;m;;57330;573;36606;64;266;296
1437;14;żuromiński;1;633468;13649;0;0;0;0;126.18;m;;80660;807;39263;49;177;288
1438;14;żyrardowski;0;0;0;5;6;1;0;246.58;m;;53254;533;76056;143;273;146
1461;14;m.Ostrołęka;3;2762616;243912;3;2;2;115;260.94;m;c;3346;34;52451;1568;58;60
1462;14;m.Płock;11;106045704;7721917;9;14;3;2105;447.13;m;c;8804;88;120787;1372;30;32
1463;14;m.Radom;10;10692288;148845;13;14;7;2714;240.34;m;c;11180;112;214566;1919;23;14
1464;14;m.Siedlce;9;4330219;98065;3;8;2;2319;290.75;m;c;3186;32;77653;2437;61;46
1465;14;m.Warszawa;484;567506555;23708504;86;111;70;60809;679.11;m;c;51724;517;1764615;3412;1;1
1601;16;brzeski(opolskie);4;4302538;189942;2;6;1;125;200.08;sw;;87596;877;90493;103;159;99
1602;16;głubczycki;0;0;0;1;1;0;0;154.88;sw;;67263;673;46209;69;232;259
1603;16;kędzierzyńsko-kozielski;5;3083785;92745;3;8;0;0;223.72;sw;;62513;626;95236;152;243;89
1604;16;kluczborski;4;1123246;23770;2;7;0;0;164.15;sw;;85191;852;66189;78;165;178
1605;16;krapkowicki;2;1057002;39360;7;7;0;0;197.73;sw;;44180;442;64227;145;294;185
1606;16;namysłowski;3;1536096;29937;5;5;0;0;178.07;sw;;74818;748;42677;57;194;274
1607;16;nyski;2;428480;501;9;15;1;628;167.26;sw;;122388;1224;137819;113;79;31
1608;16;oleski;7;3432118;148478;4;7;0;0;161.38;sw;;97338;973;64848;67;133;182
1609;16;opolski(śląskie);0;0;0;6;7;0;0;199.84;sw;;153430;1532;123612;81;32;45
1610;16;prudnicki;0;0;0;2;3;0;0;149.1;sw;;57155;572;55748;98;267;222
1611;16;strzelecki;4;1225980;56576;3;2;0;0;186.33;sw;;74427;744;74871;101;195;150
1661;16;m.Opole;12;8209595;197743;12;17;4;6962;344.6;sw;c;14888;149;128140;861;15;28
1801;18;bieszczadzki;0;0;0;7;12;0;0;137.54;e;;113907;1140;21891;19;97;313
1802;18;brzozowski;0;0;0;3;3;0;0;126.02;e;;53934;540;65938;122;271;180
1803;18;dębicki;4;3127356;193743;6;11;0;0;183.05;e;;77748;777;135479;174;186;34
1804;18;jarosławski;3;1093054;36749;9;11;1;1007;135.23;e;;102866;1029;120980;118;119;46
1805;18;jasielski;3;710706;30350;4;6;1;128;143.56;e;;83087;831;114156;137;172;58
