no;name;movies
498;Hillary Brooke;2
499;True Boardman;2
500;E.K. Lincoln;2
501;Edith Roberts;2
502;Bruce Lane;2
503;Nat Pendleton;2
504;Glenn Langan;2
505;John Freeman;2
506;Billy O'Brien;2
507;Annabelle Lee;2
508;Ben Rainwater;2
509;Allen Holbrook;2
510;Paquito Salcedo;2
511;Barbara Payton;2
512;Isarco Ravaioli;2
513;Ángel Magaña;2
514;James Drury;2
515;P. Dempsey Tabler;2
516;Alfredo Wally Barrón;2
517;Lou Castel;2
518;Lawrence Gray;2
519;Peggy Pearce;2
520;Chief Dan George;2
521;Dorothy Phillips;2
522;Véra Valmont;2
523;Fannie Ward;2
524;Gabriel Casseus;2
525;Jess Lapid Jr.;2
526;May Wynn;2
527;Jane Frazee;2
528;Corinne Calvet;2
529;Patrick Rooney;2
530;Fred Herzog;2
531;Glen Baggerly;2
532;Lew Cody;2
533;Irma Lozano;2
534;Gladys Leslie;2
535;Jan Sterling;2
536;Willard Louis;2
537;William Nigh;2
538;Tom Brown;2
539;Enrique Muiño;2
540;Robert Carradine;2
541;Vincente Howard;2
542;Tim Abell;2
543;Warren Stevens;2
544;José Castro;2
545;Michael Christian;2
546;Donna Hale;2
547;George Waggner;2
548;Mady Lawrence;2
549;Eric Millam;2
550;Robert Culp;2
551;Joanne Woodward;2
552;Pedro Infante Jr.;2
553;Bruno Corazzari;2
554;John Ince;2
555;Rolf Römer;2
556;Theodore Roberts;2
557;Peaches Jackson;2
558;Ethel Fleming;2
559;Pedro de Cordoba;2
560;Ursula Andress;2
561;Charles Wheelock;2
562;Dona Drake;2
563;Rex 'Snowy' Baker;2
564;Russell Gordon;2
565;Nadia Milton;2
566;Hope Emerson;2
567;Doris May;2
568;Flora Hollister;2
569;David Zaizar;2
570;Luciano Rossi;2
571;Amadee Chabot;2
572;Rick Groat;2
573;Marissa Delgado;2
574;Joan Curtis;2
575;José Luis Caro;2
576;Ryan Merriman;2
577;Dorothy Hart;2
578;Vin Moore;2
579;Joey Rocketshoes Dillon;2
580;Arthur Rankin;2
581;Heather Angel;2
582;Pauline Haddon;2
583;Mark Ashworth;2
584;Debra Paget;2
585;Bogusz Bilewski;2
586;Mario Alimari;2
587;Richard Erdman;2
588;Eva Montes;2
589;Alfred Hollingsworth;2
590;Emory Johnson;2
591;Buster Irving;2
592;Jean Carlin;2
593;William Drake;2
594;Mercedes Alonso;2
595;Joyce Meadows;2
596;Milan Beli;2
597;Pat Moore;2
598;Robert Vaughn;2
599;John Castellanos;2
600;Judith Allen;2
601;Thomas Gomez;2
602;Anthony Casanova;2
603;Cecil Spooner;2
604;Ronnie Gene Blevins;2
605;William Black;2
606;Lami Ates;2
607;Duke Worne;2
608;Michael Worth;2
609;Pinkas Braun;2
610;Alyce Mills;2
611;Robert Klein;2
612;Martha Vickers;2
613;James Cardwell;2
614;Shirley Patterson;2
615;D'Urville Martin;2
616;Robert Elliott;2
617;Viola Dana;2
618;Giampiero Albertini;2
