"COU","Country","MAREG","Macroregion","MEAS","Measure","VARIABLE","Land cover class","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BEL","Belgium","TOTAL","-Total-","THOUSAND_SQKM","Square kilometers (000's)","SPARSE_VEGETATION","Sparse vegetation","2015","2015","KM2","Square kilometres","3","Thousands",,,0.00487,,
"BEL","Belgium","TOTAL","-Total-","THOUSAND_SQKM","Square kilometers (000's)","URBAN","Artificial surfaces","1992","1992","KM2","Square kilometres","3","Thousands",,,1.62899,,
"BEL","Belgium","TOTAL","-Total-","THOUSAND_SQKM","Square kilometers (000's)","URBAN","Artificial surfaces","2004","2004","KM2","Square kilometres","3","Thousands",,,3.42569,,
"BEL","Belgium","TOTAL","-Total-","THOUSAND_SQKM","Square kilometers (000's)","URBAN","Artificial surfaces","2015","2015","KM2","Square kilometres","3","Thousands",,,3.44872,,
"BEL","Belgium","TOTAL","-Total-","THOUSAND_SQKM","Square kilometers (000's)","WATER","Inland water","1992","1992","KM2","Square kilometres","3","Thousands",,,0.19259,,
"BEL","Belgium","TOTAL","-Total-","THOUSAND_SQKM","Square kilometers (000's)","WATER","Inland water","2004","2004","KM2","Square kilometres","3","Thousands",,,0.182,,
"BEL","Belgium","TOTAL","-Total-","THOUSAND_SQKM","Square kilometers (000's)","WATER","Inland water","2015","2015","KM2","Square kilometres","3","Thousands",,,0.17482,,
"BEL","Belgium","TOTAL","-Total-","THOUSAND_SQKM","Square kilometers (000's)","WETL","Wetland","1992","1992","KM2","Square kilometres","3","Thousands",,,0.09328,,
"BEL","Belgium","TOTAL","-Total-","THOUSAND_SQKM","Square kilometers (000's)","WETL","Wetland","2004","2004","KM2","Square kilometres","3","Thousands",,,0.09058,,
"BEL","Belgium","TOTAL","-Total-","THOUSAND_SQKM","Square kilometers (000's)","WETL","Wetland","2015","2015","KM2","Square kilometres","3","Thousands",,,0.10797,,
"BEL","Belgium","TOTAL","-Total-","PCNT","Percent of total country area","BARE","Bare area","1992","1992","PC","Percentage","0","Units",,,0.01653,,
"BEL","Belgium","TOTAL","-Total-","PCNT","Percent of total country area","BARE","Bare area","2004","2004","PC","Percentage","0","Units",,,0.01628,,
"BEL","Belgium","TOTAL","-Total-","PCNT","Percent of total country area","BARE","Bare area","2015","2015","PC","Percentage","0","Units",,,0.02204,,
"BEL","Belgium","TOTAL","-Total-","PCNT","Percent of total country area","CROPL","Cropland","1992","1992","PC","Percentage","0","Units",,,55.93008,,
"BEL","Belgium","TOTAL","-Total-","PCNT","Percent of total country area","CROPL","Cropland","2004","2004","PC","Percentage","0","Units",,,50.86773,,
"BEL","Belgium","TOTAL","-Total-","PCNT","Percent of total country area","CROPL","Cropland","2015","2015","PC","Percentage","0","Units",,,50.76553,,
"BEL","Belgium","TOTAL","-Total-","PCNT","Percent of total country area","FOREST","Tree cover","1992","1992","PC","Percentage","0","Units",,,24.11987,,
"BEL","Belgium","TOTAL","-Total-","PCNT","Percent of total country area","FOREST","Tree cover","2004","2004","PC","Percentage","0","Units",,,22.43626,,
