Poz20167;Poz2016;Firma;PKD;Przychody;WynikNett;siedziba;excoords;q;xcoord;ycoord
845;777;Zakład Mięsne Silesia SA, Katowice;1013;429811;4461;Katowice, PL;50.259899 19.021585;PL,PL;50.250835;19.009348
846;952;Cisco Systems Poland sp. z o.o., Warszawa;6202;429734;30629;Warszawa, PL;52.231924 21.006727;PL,PL;52.258514;21.016365
847;863;Rockwell Automation sp. z o.o., Warszawa;2712;429166;23985;Warszawa, PL;52.231924 21.006727;PL,PL;52.289390;20.969051
848;687;Thoni Alutec sp. z o.o., Stalowa Wola;2593;428578;29132;Stalowa Wola, PL;50.568985 22.064467;Wola,;50.562331;22.063849
849;1955;Homag Polska sp. z o.o., Środa Wielkopolska;4669;428150;-90103;Środa Wielkopolska, PL;52.228427 17.277827;Wielkopolska,;52.225032;17.273924
850;798;Veka Polska sp. z o.o., Skierniewice;2221;428148;44391;Skierniewice, PL;51.956858 20.143004;PL,PL;51.962605;20.142725
851;668;Amerigas Polska sp. z o.o., Warszawa;4671;427030;1890;Warszawa, PL;52.231924 21.006727;PL,PL;52.187494;21.051249
852;904;Hilding Anders Polska sp. z o.o., Murowana Goślina;3103;426906;14298;Murowana Goślina, PL;52.575847 17.009791;Goślina,;52.572794;17.009147
853;909;Federal-Mogul Bimet SA, Gdańsk;2815;425470;74933;Gdańsk, PL;54.347628 18.645203;PL,PL;54.339815;18.650270
854;1953;Abadon Real Estate SA, Bielsko-Biała;7010;425237;16160;Bielsko-Biała, PL;49.822118 19.044894;PL,PL;49.838184;19.050605
855;846;Skat Transport sp. z o.o. sp.k., GK, Gdańsk;4141;425199;11424;Gdańsk, PL;54.347628 18.645203;PL,PL;54.354275;18.646282
856;754;Amcor Flexibles Reflex sp. z o.o., Łódź;2222;423989;38123;Łódź, PL;51.768732 19.456991;PL,PL;51.781460;19.460035
857;819;Tubądzin Management Group sp. z o.o., Ozorków;4673;423796;-1439;Ozorków, PL;51.96361 19.291811;PL,PL;51.962968;19.293454
858;879;Optima Logistics Group SA GK, Warszawa;5221;423699;8425;Warszawa, PL;52.231924 21.006727;PL,PL;52.277684;21.007187
859;831;Prymat sp. z o.o., Jastrzębie-Zdrój;1084;423692;41789;Jastrzębie-Zdrój, PL;49.951909 18.602361;PL,PL;49.953646;18.600255
860;854;Schumacher Packaging Zakład Bydgoszcz, Bukowiec;1721;423245;4849;Bukowiec, PL;51.077772 15.252466;PL,PL;51.074947;15.253379
861;827;TD AS Poland sp. z o.o., Warszawa;4651;423074;1735;Warszawa, PL;52.231924 21.006727;PL,PL;52.231351;20.946890
