Poz20167;Poz2016;Firma;PKD;Przychody;WynikNett;siedziba;coord;NEIGHBORHOOD;teryt;nazwa
1563;1826;Strzelecka Spół. Producentów Mleka, Strzelce Krajeńskie;4633;211188;2332;Strzelce Krajeńskie, PL;52.878526 15.532593;Krajeńskie,;0806;strzelecko-drezdenecki
1564;1593;Kalinowski sp. z o.o., Kaźmierz;4621;210970;1020;Kaźmierz, PL;52.512924 16.583147;PL,PL;3024;szamotulski
1565;1448;Classen Floor Systems sp. z o.o., Zwonowice;4673;210517;13027;Zwonowice, PL;50.144856 18.441383;PL,PL;2411;raciborski
1566;1503;Diageo sp. z o.o., Warszawa;4634;210501;8022;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
1567;1455;Jarmag sp.j., Lublin;4676;210435;6897;Lublin, PL;51.231292 22.568964;PL,PL;0609;lubelski
1568;1525;Promag SA GK, Poznań;4669;210082;17969;Poznań, PL;52.440615 16.91905;PL,PL;3064;m.Poznań
1569;1389;Canon Polska sp. z o.o., Warszawa;4666;210068;8473;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
1570;1557;Bosch Rexroth sp. z o.o., Warszawa;4669;209965;9504;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
1571;1629;Chr. Hansen Poland sp. z o.o., Cząstków Mazowiecki;4690;209946;6561;Cząstków Mazowiecki, PL;52.391389 20.748611;Mazowiecki,;1408;legionowski
1572;1559;Elda Eltra Elektrotechnika SA, Bydgoszcz;2733;209792;12959;Bydgoszcz, PL;53.121965 18.000253;PL,PL;0461;m.Bydgoszcz
1573;1500;PZF Cefarm-Lublin SA, Lublin;4773;209725;-1947;Lublin, PL;51.231292 22.568964;PL,PL;0609;lubelski
1574;1578;Brawo sp. z o.o., Kalwaria Zebrzydowska;4772;209217;18388;Kalwaria Zebrzydowska, PL;49.866948 19.676309;Zebrzydowska,;1218;wadowicki
1575;1522;DTR Vms Poland sp. z o.o., Częstochowa;2219;209010;9931;Częstochowa, PL;50.812047 19.113213;PL,PL;2406;kłobucki
1576;1555;Novartis Poland sp. z o.o., Warszawa;2120;208976;8910;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
1577;1588;BGW sp. z o.o., Poznań;2014;208937;2493;Poznań, PL;52.440615 16.91905;PL,PL;3064;m.Poznań
1578;1569;Witoplast Kisielińscy sp.j., Warszawa;2222;208919;52759;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
1579;1476;PBF (Warsaw) sp. z o.o., Warszawa;4531;208831;1491;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
1580;1633;BHG sp. z o.o., Pruszków;4690;208622;1583;Pruszków, PL;52.164353 20.801739;PL,PL;1421;pruszkowski
1581;1673;FRB Inter-Bud sp. z o.o. sp.j., Kraków;4110;208175;40094;Kraków, PL;50.064529 19.983206;PL,PL;1206;krakowski
1582;1705;H+H Polska sp. z o.o., Warszawa;2361;207988;15395;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
1583;1668;Estee Lauder Poland sp. z o.o., Warszawa;4690;207793;15590;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
1584;1806;Bemar sp. z o.o., Gliwice;7112;207724;1608;Gliwice, PL;50.294113 18.665731;PL,PL;2405;gliwicki
1585;1333;Vitkovice Milmet SA, Sosnowiec;2529;207663;10963;Sosnowiec, PL;50.280692 19.13493;PL,PL;2401;będziński
1586;1706;Bell Polska sp. z o.o., Niepołomice;1011;207400;-29;Niepołomice, PL;50.033182 20.216801;PL,PL;1206;krakowski
1587;1492;Gerresheimer Bolesławiec SA, Bolesławiec;2222;207276;16379;Bolesławiec, PL;51.262829 15.565306;PL,PL;0201;bolesławiecki
1588;1473;Lesaffer Polska SA, Wołczyn;1089;207169;25927;Wołczyn, PL;51.019025 18.049603;PL,PL;1604;kluczborski
1589;1910;Smalltronic PL, Wyszków;4791;207157;3015;Wyszków, PL;52.592804 21.458458;PL,PL;1435;wyszkowski
1590;1701;Aiut sp. z o.o., Gliwice;6201;207074;7545;Gliwice, PL;50.294113 18.665731;PL,PL;2405;gliwicki
1591;1690;Krynica Vitamin SA GK, Warszawa;1107;206870;5747;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
1592;1529;Medcom sp. z o.o., Warszawa;2790;206825;27571;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
1593;1487;SKAMEX sp. z o.o. sp.k., Łódź;4646;206734;26943;Łódź, PL;51.768732 19.456991;PL,PL;1008;pabianicki
1594;1553;Multilayer Pipe Company sp. z o.o., Pęcz;2221;206729;8886;Pęcz, PL;50.790451 17.03706;PL,PL;0217;strzeliński
1595;1562;Sest-Luve-Polska sp. z o.o., Gliwice;2825;206706;33744;Gliwice, PL;50.294113 18.665731;PL,PL;2405;gliwicki
1596;1758;VGL Road sp. z o.o., Gdynia;5222;206636;4751;Gdynia, PL;54.451129 18.323977;PL,PL;2205;kartuski
1597;1780;Albis Polska sp. z o.o., Poznań;4676;206269;7210;Poznań, PL;52.440615 16.91905;PL,PL;3064;m.Poznań
1598;1647;Polplast Polska sp. z o.o., Myślenice;2229;206216;21170;Myślenice, PL;49.834608 19.938428;PL,PL;1209;myślenicki
1599;1233;Thegra Poland sp. z o.o., Warszawa;4621;206007;978;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
1600;1582;Patelec Elpena sp. z o.o., Legnica;2732;205832;1714;Legnica, PL;51.208209 16.160228;PL,PL;0209;legnicki
1601;1603;Alab Laboratoria sp. z o.o., Warszawa;8690;205819;617;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
1602;1497;Zarząd Morskiego Portu Gdańsk SA, Gdańsk;6820;205809;76996;Gdańsk, PL;54.347628 18.645203;PL,PL;2261;m.Gdańsk
1604;1712;LOT Aircraft Maintenance Services sp. z o.o., Warszawa;3316;205610;1820;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
1605;1676;Interkadra sp. z o.o., Kraków;7820;205442;5235;Kraków, PL;50.064529 19.983206;PL,PL;1206;krakowski
1606;1102;Naftoremont Naftobudowa sp. z o.o., Płock;4299;205376;766;Płock, PL;52.546452 19.700861;PL,PL;1462;m.Płock
1608;1815;Orlen KolTrans sp. z o.o., Płock;5229;205010;15436;Płock, PL;52.546452 19.700861;PL,PL;1462;m.Płock
1609;1663;Cargo Partner Spedycja sp. z o.o., Pruszków;5229;204765;4737;Pruszków, PL;52.164353 20.801739;PL,PL;1421;pruszkowski
1610;1519;Elektrociepłownia Będzin SA, Będzin;3530;204757;14346;Będzin, PL;50.323079 19.13222;PL,PL;2401;będziński
1611;1424;PKP SKM w Trójmieście sp. z o.o., Gdynia;4931;204735;2633;Gdynia, PL;54.451129 18.323977;PL,PL;2205;kartuski
1612;1672;Odmet SA, Siedlce;4672;204579;2115;Siedlce, PL;52.166375 22.276514;PL,PL;1464;m.Siedlce
1613;1505;Mispol SA, Suwałki;1013;204350;5731;Suwałki, PL;54.100445 22.933102;PL,PL;2063;m.Suwałki
1614;1423;Ecolab sp. z o.o., Kraków;4646;204144;3644;Kraków, PL;50.064529 19.983206;PL,PL;1206;krakowski
1615;1737;Padma sp. z o.o. sp.k., Suwałki;1729;204119;19984;Suwałki, PL;54.100445 22.933102;PL,PL;2063;m.Suwałki
1616;1554;Folplast sp. z o.o sp.k., Kościan;2222;204080;15573;Kościan, PL;52.086325 16.645;PL,PL;3011;kościański
1617;1611;Ceramika Color sp. z o.o., Końskie;2331;203713;2770;Końskie, PL;51.19382 20.40938;PL,PL;2605;konecki
1618;1901;Medicalgorithmics SA, Warszawa;6201;203354;33653;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
1619;1384;PPUH Pasz Konspol sp. z o.o., Nekla;147;203015;4464;Nekla, PL;52.364324 17.412564;PL,PL;3030;wrzesiński
1620;1470;Agrocentrum sp. z o.o., Strzelce Opolskie;4690;202926;3653;Strzelce Opolskie, PL;50.515027 18.30097;Opolskie,;1611;strzelecki
1621;1450;Inpro SA GK, Gdańsk;4120;202891;30309;Gdańsk, PL;54.347628 18.645203;PL,PL;2261;m.Gdańsk
1622;1669;Netbrokers Polska sp. z o.o. sp.k., Kraków;4632;202844;5329;Kraków, PL;50.064529 19.983206;PL,PL;1206;krakowski
1623;1783;Etravel SA, Warszawa;7911;202740;5403;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
1624;1957;Dot2dot SA, Batorowo;1812;202542;-8331;Batorowo, PL;54.242222 19.351111;PL,PL;2804;elbląski
1625;1534;Schumacher Packaging Zakład Grudziądz sp. z o.o.;1712;202502;14723;Grudziądz , PL;53.487648 18.755776;,;0414;świecki
1626;1453;Głuchołaskie Zakłady Papiernicze sp. z o.o.;1712;202153;3336;Głuchołazy, PL;50.317083 17.383381;PL,PL;1607;nyski
1627;1652;Marcato sp. z o.o., Rzakta;2222;201545;8923;Rzakta, PL;52.13302 21.46234;PL,PL;1417;otwocki
1628;1638;Cerrad sp. z o.o., Starachowice;2331;201514;42670;Starachowice, PL;51.051887 21.076138;PL,PL;2611;starachowicki
1629;1510;PPUH Woseba sp. z o.o., Odolanów;1083;201514;5497;Odolanów, PL;51.574218 17.673514;PL,PL;3017;ostrowski(wielkopolskie)
1630;1696;Gall-ICM sp.j., Legnica;4511;201483;4928;Legnica, PL;51.208209 16.160228;PL,PL;0209;legnicki
1631;1187;Italmetal sp. z o.o., Łęg;2550;201409;15936;Łęg, PL;49.887596 22.248491;PL,PL;1814;przeworski
1632;1590;ULMA Construction Polska SA GK, Warszawa;4211;201294;24225;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
1633;1561;PIB sp. z o.o., Gołymin;4632;200963;104;Gołymin, PL;52.817509 20.857555;PL,PL;1402;ciechanowski
1634;1521;Agrolex sp. z o.o., Pyrzyce;4776;200933;3619;Pyrzyce, PL;53.1457 14.89267;PL,PL;3212;pyrzycki
1636;1751;Neptun sp. z o.o., Lublin;4674;200820;1628;Lublin, PL;51.231292 22.568964;PL,PL;0609;lubelski
1637;1471;Mexem sp. z o.o., Warszawa;4941;200742;4201;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
1638;1478;Koelner Polska sp. z o.o., Wrocław;4673;200571;3893;Wrocław, PL;51.108978 17.032669;PL,PL;0223;wrocławski
1639;1646;Rotex Trade sp. z o.o., Henryszew;4671;200200;775;Henryszew, PL;52.07782 20.467109;PL,PL;1405;grodziski(mazowieckie)
1640;1962;PPU Surmat sp. z o.o. sp.k., Częstochowa;4677;200087;1479;Częstochowa, PL;50.812047 19.113213;PL,PL;2406;kłobucki
1641;1483;Flora sp. z o.o., Praszka;4675;199355;4515;Praszka, PL;51.05536 18.448522;PL,PL;1608;oleski
1642;1715;Yetico SA, Olsztyn;2221;199297;9931;Olsztyn, PL;53.775411 20.481225;PL,PL;2862;m.Olsztyn
1643;1916;Projprzem SA GK, Bydgoszcz;2511;199190;10845;Bydgoszcz, PL;53.121965 18.000253;PL,PL;0461;m.Bydgoszcz
1644;1368;Awbud SA GK, Fugasówka;4120;198875;-28150;Fugasówka, PL;50.47201 19.47932;PL,PL;2416;zawierciański
1645;1560;Zas-Pol sp.j., Poznań;4635;198713;734;Poznań, PL;52.440615 16.91905;PL,PL;3064;m.Poznań
1646;1418;BEST SA, Gdynia;6630;198573;54552;Gdynia, PL;54.451129 18.323977;PL,PL;2205;kartuski
1649;1118;Hoop Polska sp. z o.o., Kutno;1107;197768;-27846;Kutno, PL;52.231756 19.357018;PL,PL;1002;kutnowski
1650;1253;Rosiński Packaging sp. z o.o. ska, Bielsko-Biała;2222;197756;-1373;Bielsko-Biała, PL;49.822118 19.044894;PL,PL;2461;m.Bielsko-Biała
1652;1348;Grupa Lew SA, Częstochowa;4690;197315;856;Częstochowa, PL;50.812047 19.113213;PL,PL;2406;kłobucki
1653;1520;Futrex sp. z o.o., Żdżary;1091;197224;35073;Żdżary, PL;51.681261 19.417824;PL,PL;1008;pabianicki
1654;1805;ATC Cargo SA GK, Gdynia;5229;196834;694;Gdynia, PL;54.451129 18.323977;PL,PL;2205;kartuski
1655;1771;Zimny Auto sp. z o.o., Łódź;5011;196794;b.d.;Łódź, PL;51.768732 19.456991;PL,PL;1008;pabianicki
1657;1804;Miko Pac sp. z o.o., Bydgoszcz;2222;196031;8193;Bydgoszcz, PL;53.121965 18.000253;PL,PL;0461;m.Bydgoszcz
1658;1413;Andrewex sp. z o.o., Tuliszków;3109;195929;-4689;Tuliszków, PL;52.077097 18.294932;PL,PL;3027;turecki
1659;1680;PHUB Łucz-Bud sp. z o.o., Radom;4120;195496;5040;Radom, PL;51.40107 21.153411;PL,PL;1463;m.Radom
1660;1396;Levi Strauss Poland sp. z o.o., Płock;1413;195344;6097;Płock, PL;52.546452 19.700861;PL,PL;1462;m.Płock
1661;1608;Jet Story sp. z o.o., Warszawa;7735;195225;14136;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
1662;1472;Marspol Grupa sp. z o.o., Rzeszów;4639;194891;464;Rzeszów, PL;50.037453 22.004717;PL,PL;1863;m.Rzeszów
1663;1570;Maszoński Logistic sp. z o.o. sp.k., Sulęcin;4941;194635;17538;Sulęcin, PL;51.9275 17.835278;PL,PL;3020;pleszewski
1664;1364;Rom sp. z o.o., Oleśnica;3109;194518;438;Oleśnica, PL;51.209531 17.380456;PL,PL;0214;oleśnicki
1665;1948;Electra M&E Polska sp. z o.o., Warszawa;4322;194488;3868;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
1666;1556;AC SA, Białystok;2931;194414;30698;Białystok, PL;53.132398 23.159168;PL,PL;2002;białostocki
1667;1584;Bodex sp. z o.o. sp.k., Wrocław;2920;194358;11388;Wrocław, PL;51.108978 17.032669;PL,PL;0223;wrocławski
1668;1564;ZRP Farmutil HS SA, Śmiłowo;3821;194257;9542;Śmiłowo, PL;52.709585 19.820645;PL,PL;1427;sierpecki
1669;1457;Matex sp. z o.o., Nekla;3109;194182;-3253;Nekla, PL;52.364324 17.412564;PL,PL;3030;wrzesiński
1670;1488;Solar Polska sp. z o.o., Łódź;4669;194048;-1872;Łódź, PL;51.768732 19.456991;PL,PL;1008;pabianicki
1671;1524;MWiK sp. z o.o., Bydgoszcz;3600;193558;23182;Bydgoszcz, PL;53.121965 18.000253;PL,PL;0461;m.Bydgoszcz
1672;;CNH Industrial Kutno sp. z o.o., Kutno;2830;193538;60162;Kutno, PL;52.231756 19.357018;PL,PL;1002;kutnowski
1673;1639;MSD Polska sp. z o.o., Warszawa;7311;193346;7606;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
1674;1637;Eurocast sp. z o.o., Strzebielino;2016;193100;6088;Strzebielino, PL;54.580922 18.036415;PL,PL;2215;wejherowski
1675;1506;AAT Holding sp. z o.o. GK, Warszawa;4610;193013;20733;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
1677;1742;Integer Pl SA, Kraków;7311;192464;4619;Kraków, PL;50.064529 19.983206;PL,PL;1206;krakowski
1678;1537;Spółdzielnia Pracy Muszynianka, Krynica-Zdrój;1107;192356;41352;Krynica-Zdrój, PL;49.420614 20.959418;PL,PL;1205;gorlicki
1679;1850;Grapeace sp. z o.o. sp.k., Warszawa;4631;192306;4223;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
1680;1552;Agro Biznes sp.j., Gorzów Wielkopolski;4690;192231;3117;Gorzów Wielkopolski, PL;52.728429 15.236806;Wielkopolski,;0861;m.Gorzów Wielkopolski
1681;1591;Polsat Media sp. z o.o., Warszawa;7312;192039;133135;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
1682;1866;TP Reflex Polska sp. z o.o., Żarów;2229;191935;8173;Żarów, PL;50.94087 16.494677;PL,PL;0219;świdnicki(śląskie)
1683;1486;Sistema Poland sp. z o.o., Tychy;5210;191926;9922;Tychy, PL;50.124731 18.986993;PL,PL;2477;m.Tychy
1685;1465;Stella Pack SA, Lubartów;2222;191895;2998;Lubartów, PL;51.466047 22.60529;PL,PL;0608;lubartowski
1686;1713;Eurogate Logistics sp. z o.o., Warszawa;5229;191738;4326;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
1687;1710;Raiffeisen Agro-Technika sp. z o.o., Brzoza;4661;191576;3875;Brzoza, PL;51.813227 19.424865;PL,PL;1008;pabianicki
1688;1587;Biuro Informacji Kredytowej SA, Warszawa;6311;191525;63339;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
1689;1831;PPHU i Obrotu Surowcami Wtórnymi sp.j., Poznań;4677;191490;1327;Poznań, PL;52.440615 16.91905;PL,PL;3064;m.Poznań
1690;1744;Spedimex sp. z o.o., Stryków;4941;191361;998;Stryków, PL;51.900945 19.603697;PL,PL;1020;zgierski
1692;1568;PBP Chemobudowa SA GK, Kraków;4120;190997;5523;Kraków, PL;50.064529 19.983206;PL,PL;1206;krakowski
1693;1724;Hanke Tissue sp. z o.o., Kostrzyn nad Odrą;2122;190994;8637;Kostrzyn nad Odrą, PL;52.589874 14.653634;nad;0807;sulęciński
1694;1704;C-L sp. z o.o., Słupsk;4675;190976;2053;Słupsk, PL;54.464933 17.028073;PL,PL;2263;m.Słupsk
1695;1577;Partner in Pet Food Polska SA, Warszawa;4638;190921;-11069;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
1696;1592;Promar PPH sp. z o.o., Łomianki;4669;190688;11184;Łomianki, PL;52.335527 20.895012;PL,PL;1465;m.Warszawa
1698;1664;Trefl SA, Sopot;3240;190595;10602;Sopot, PL;54.444667 18.568587;PL,PL;2264;m.Sopot
1699;1960;Aforti Holding SA GK, Warszawa;6420;190583;1217;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
1700;1574;Teleskop sp. z o.o., Kostrzyn;2511;190551;2183;Kostrzyn, PL;52.395871 17.230281;PL,PL;3003;gnieźnieński
1701;1698;FF Fracht sp. z o.o., Wrocław;4941;190111;819;Wrocław, PL;51.108978 17.032669;PL,PL;0223;wrocławski
1702;1549;Inpharm sp. z o.o., Warszawa;4773;189867;560;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
1703;1548;Diversey Polska sp. z o.o., Warszawa;4675;189827;3545;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
1704;1501;System Drob sp.j., Lubomierz;1011;189726;8953;Lubomierz, PL;51.840321 17.770645;PL,PL;3020;pleszewski
1705;1573;ES-System SA GK, Kraków;4690;189699;7024;Kraków, PL;50.064529 19.983206;PL,PL;1206;krakowski
1706;1610;Auto Zięba sp. z o.o., Katowice;4511;189592;3294;Katowice, PL;50.259899 19.021585;PL,PL;2469;m.Katowice
1707;1893;Mazowiecka Spółka Mleczarska SA, Maków Mazowiecki;1051;189517;750;Maków Mazowiecki, PL;52.865678 21.101224;Mazowiecki,;1411;makowski
1708;1614;ASM Group SA, Warszawa;4619;189205;3874;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
1709;;Serveone Poland sp. z o.o., Wrocław;4120;189142;5420;Wrocław, PL;51.108978 17.032669;PL,PL;0223;wrocławski
1710;1541;Ubojnia Drobiu, Dmosin;1012;188867;3717;Dmosin, PL;51.927643 19.753359;PL,PL;1005;łowicki
1711;1651;Średzka SM Jana, Środa Wielkopolska;1051;188721;881;Środa Wielkopolska, PL;52.228427 17.277827;Wielkopolska,;3025;średzki(wielkopolskie)
1712;1415;Armatura Kraków SA, Kraków;2814;188718;-24766;Kraków, PL;50.064529 19.983206;PL,PL;1206;krakowski
1713;1685;Mercury Engineering Polska sp. z o.o., Warszawa;4120;188594;159;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
1714;1876;ZBM Grimbud sp. z o.o., Nowy Sącz;4120;188320;8889;Nowy Sącz, PL;49.624917 20.691346;Sącz,;1262;m.Nowy Sącz
1715;1665;North Coast SA GK, Pruszków;4639;188145;5631;Pruszków, PL;52.164353 20.801739;PL,PL;1421;pruszkowski
1716;1360;SRG Global Bolesławiec sp. z o.o., Bolesławiec;2221;188075;-38867;Bolesławiec, PL;51.262829 15.565306;PL,PL;0201;bolesławiecki
1717;1644;Schur Flexible Poland sp. z o.o., Bogucin;2222;188054;6821;Bogucin, PL;51.85491 21.916934;PL,PL;1403;garwoliński
1718;1882;Fibrain sp. z o.o., Głogów Małopolski;2731;187997;10076;Głogów Małopolski, PL;50.151181 21.962757;Małopolski,;1806;kolbuszowski
1719;1965;Track Tec Construction sp. z o.o., Wrocław;4212;187937;1871;Wrocław, PL;51.108978 17.032669;PL,PL;0223;wrocławski
1720;1961;Aforti Exchange SA, Warszawa;6612;187865;-3940;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
1721;1622;NN Investment Partners TFI SA, Warszawa;6630;187801;44340;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
1722;1508;Trend Glass sp. z o.o., Radom;2313;187671;11429;Radom, PL;51.40107 21.153411;PL,PL;1463;m.Radom
1724;1692;Rzeźnictwo sp.k., Zbąszynek;1013;187321;4260;Zbąszynek, PL;52.2435 15.813905;PL,PL;3015;nowotomyski
1725;1511;Sfinks Polska SA GK, Piaseczno;5610;187074;-9215;Piaseczno, PL;53.58206 16.13332;PL,PL;3203;drawski
1726;1466;Flexpol sp. z o.o., Płock;2222;186895;221;Płock, PL;52.546452 19.700861;PL,PL;1462;m.Płock
1727;1624;LIM sp. z o.o. sp.k., Warszawa;6820;186874;33180;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
1728;1234;Murapol SA GK, Bielsko-Biała;6420;186301;120152;Bielsko-Biała, PL;49.822118 19.044894;PL,PL;2461;m.Bielsko-Biała
1730;1517;Parker Hannifin Sales Poland sp. z o.o., Warszawa;4690;185872;6211;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
1732;1563;Auto Gum sp.j., Kraków;4531;185604;-1432;Kraków, PL;50.064529 19.983206;PL,PL;1206;krakowski
1733;1814;Brandbq sp. z o.o., Kraków;4771;185324;2623;Kraków, PL;50.064529 19.983206;PL,PL;1206;krakowski
1734;1536;Mokate SA, Ustroń;1083;185232;9738;Ustroń, PL;49.718151 18.802834;PL,PL;2403;cieszyński
1735;1795;Parktel sp. z o.o., Wrocław;4652;185132;1453;Wrocław, PL;51.108978 17.032669;PL,PL;0223;wrocławski
1737;1531;Alsen Marketing sp. z o.o., Chorzów;4741;185020;23;Chorzów, PL;50.297879 18.954447;PL,PL;2463;m.Chorzów
1738;1429;Nicols Poland sp. z o.o., Trawniki;2041;184719;9066;Trawniki, PL;51.135185 22.997103;PL,PL;0617;świdnicki(lubelskie)
1739;1796;Seko SA, Chojnice;1020;184674;9007;Chojnice, PL;53.697766 17.565797;PL,PL;2202;chojnicki
1740;1937;Damix sp. z o.o., Rypin;2875;184664;18717;Rypin, PL;53.067281 19.406027;PL,PL;0412;rypiński
1741;1103;Gino Rossi SA GK, Słupsk;4772;184504;-18888;Słupsk, PL;54.464933 17.028073;PL,PL;2263;m.Słupsk
1742;1398;Polish Agro sp. z o.o., Bydgoszcz;4621;184323;566;Bydgoszcz, PL;53.121965 18.000253;PL,PL;0461;m.Bydgoszcz
1743;1674;Asseco Business Solutions SA, Lublin;6201;184179;47284;Lublin, PL;51.231292 22.568964;PL,PL;0609;lubelski
1744;1602;Sun Chemical sp. z o.o., Marki;4675;184123;16622;Marki, PL;52.325461 21.105469;PL,PL;1465;m.Warszawa
1745;1444;Intersport Polska SA, Kraków;4764;183934;-8999;Kraków, PL;50.064529 19.983206;PL,PL;1206;krakowski
1746;1827;ZET Transport sp. z o.o., Nowy Sącz;4941;183929;5312;Nowy Sącz, PL;49.624917 20.691346;Sącz,;1262;m.Nowy Sącz
1747;1881;Petrol sp. z o.o., Kąty Wrocławskie;4730;183647;328;Kąty Wrocławskie, PL;51.031343 16.763301;Wrocławskie,;0218;średzki(śląskie)
1748;1643;Sarens Polska sp. z o.o., Sochaczew;4399;183624;2270;Sochaczew, PL;52.22697 20.242225;PL,PL;1428;sochaczewski
1749;1654;Mirex sp. z o.o., Bielsko-Biała;4690;183482;1330;Bielsko-Biała, PL;49.822118 19.044894;PL,PL;2461;m.Bielsko-Biała
1750;1625;Sila Poland sp. z o.o., Częstochowa;2932;183477;17721;Częstochowa, PL;50.812047 19.113213;PL,PL;2406;kłobucki
1751;;Phoenix Chemicals Trading sp. z o.o., Warszawa;4675;183445;1643;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
1752;1935;Energomontaż Zachód sp. z o.o., Wrocław;2511;183327;8986;Wrocław, PL;51.108978 17.032669;PL,PL;0223;wrocławski
1753;1623;FSiNG Fasing SA GK, Katowice;2593;183287;1152;Katowice, PL;50.259899 19.021585;PL,PL;2469;m.Katowice
1754;1729;Fortaco sp. z o.o., Wrocław;2511;182983;1589;Wrocław, PL;51.108978 17.032669;PL,PL;0223;wrocławski
1755;1683;Alkat sp. z o.o., Kraków;2011;182796;27902;Kraków, PL;50.064529 19.983206;PL,PL;1206;krakowski
1756;1941;Vandemoortele Polska sp. z o.o., Łódź;1072;182704;5919;Łódź, PL;51.768732 19.456991;PL,PL;1008;pabianicki
1757;1657;BizeA sp. z o.o., Piaseczno;4669;182686;8545;Piaseczno, PL;53.58206 16.13332;PL,PL;3203;drawski
1758;;Defro sp. z o.o. s.k., Warszawa;2521;182233;20764;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
1759;1648;Heinz Glas Działdowo sp. z o.o., Działdowo;2313;182229;18473;Działdowo, PL;53.237764 20.176196;PL,PL;2803;działdowski
1760;1875;Ethosenergy Poland SA, Lubliniec;2711;182144;7304;Lubliniec, PL;50.669063 18.682579;PL,PL;1608;oleski
1761;1662;Elektromontaż-Rzeszów SA, Rzeszów;4321;182134;1003;Rzeszów, PL;50.037453 22.004717;PL,PL;1863;m.Rzeszów
1762;1658;Mennica Skarbowa SA, Warszawa;4791;182049;394;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
1764;1723;Honeywell sp. z o.o., Warszawa;4322;181952;8933;Warszawa, PL;52.231924 21.006727;PL,PL;1465;m.Warszawa
1765;1691;Jantoń SA sp.k., Dobroń;1103;181741;11309;Dobroń, PL;51.63382 19.24516;PL,PL;1008;pabianicki
1766;1589;Konsorcjum Mięsne Okrasa Grupa Południe, Pilica;1013;181590;3718;Pilica, PL;51.25086 19.925115;PL,PL;1007;opoczyński
1767;1872;ZM Invest SA, Ropczyce;4690;181516;6355;Ropczyce, PL;50.052861 21.611632;PL,PL;1815;ropczycko-sędziszowski
1768;1544;Ceramika Tubądzin II sp. z o.o., Ozorków;2331;181488;61818;Ozorków, PL;51.96361 19.291811;PL,PL;1020;zgierski
1769;1755;Auto Wimar Centrum sp.z o.o., Michałowice;4511;181375;1024;Michałowice, PL;52.842563 17.114379;PL,PL;3001;chodzieski
1770;1867;Whynottravel sp. z o.o. sp.k., Kielnarowa;7990;181097;2222;Kielnarowa, PL;49.965686 22.06331;PL,PL;1863;m.Rzeszów
1771;1963;Alupol Films sp. z o.o., Oświęcim;2221;180895;15069;Oświęcim, PL;50.038088 19.226107;PL,PL;2414;tyski
1772;1630;Zarząd Morskiego Portu Gdynia SA, Gdynia;6820;180771;75727;Gdynia, PL;54.451129 18.323977;PL,PL;2205;kartuski
1774;1808;Zaberd SA, Wrocław;5221;180614;7274;Wrocław, PL;51.108978 17.032669;PL,PL;0223;wrocławski
